NAME,ARCHITECTURE,ARCHITECTURE_FULL_NAME,FAMILY,DEVICE,PACKAGE,SPEED,TEMPERATURE_GRADE_LETTER,REVISION
xc7vx485tffg1157-1,virtex7,Virtex-7,virtex7,xc7vx485t,ffg1157,-1,,
xc7vx485tffg1157-2,virtex7,Virtex-7,virtex7,xc7vx485t,ffg1157,-2,,
xc7vx485tffg1157-2L,virtex7,Virtex-7,virtex7,xc7vx485t,ffg1157,-2L,E,
xc7vx485tffg1157-3,virtex7,Virtex-7,virtex7,xc7vx485t,ffg1157,-3,,
xc7vx485tffg1158-1,virtex7,Virtex-7,virtex7,xc7vx485t,ffg1158,-1,,
xc7vx485tffg1158-2,virtex7,Virtex-7,virtex7,xc7vx485t,ffg1158,-2,,
xc7vx485tffg1158-2L,virtex7,Virtex-7,virtex7,xc7vx485t,ffg1158,-2L,E,
xc7vx485tffg1158-3,virtex7,Virtex-7,virtex7,xc7vx485t,ffg1158,-3,,
xc7vx485tffg1761-1,virtex7,Virtex-7,virtex7,xc7vx485t,ffg1761,-1,,
xc7vx485tffg1761-2,virtex7,Virtex-7,virtex7,xc7vx485t,ffg1761,-2,,
xc7vx485tffg1761-2L,virtex7,Virtex-7,virtex7,xc7vx485t,ffg1761,-2L,E,
xc7vx485tffg1761-3,virtex7,Virtex-7,virtex7,xc7vx485t,ffg1761,-3,,
xc7vx485tffg1927-1,virtex7,Virtex-7,virtex7,xc7vx485t,ffg1927,-1,,
xc7vx485tffg1927-2,virtex7,Virtex-7,virtex7,xc7vx485t,ffg1927,-2,,
xc7vx485tffg1927-2L,virtex7,Virtex-7,virtex7,xc7vx485t,ffg1927,-2L,E,
xc7vx485tffg1927-3,virtex7,Virtex-7,virtex7,xc7vx485t,ffg1927,-3,,
xc7vx485tffg1930-1,virtex7,Virtex-7,virtex7,xc7vx485t,ffg1930,-1,,
xc7vx485tffg1930-2,virtex7,Virtex-7,virtex7,xc7vx485t,ffg1930,-2,,
